marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9
GM-CSF,CSF2,Granulocyte-macrophage colony-stimulating factor,GMCSF,,,,,,
GMCSF,GM_CSF,Gmcsf,,,,,,,
GPR183,GPR183,Gpr183,,,,,,,
Gr-1,Gr1,,,,,,,,
Granzyme A,Granzyme-A,GrA,GZMA,,,,,,
Granzyme B,Granzyme-B,Granzymeb,Granzyme_B,GranzymeB,,,,,
Granzyme K,Granzyme-K,GrK,GZMK,,,,,,
Granzyme M,Granzyme-M,GrM,GZMM,,,,,,
HA,HA tag,Ha,HA Tag,HA.Tag,,,,,
Hedgehog,SHH,Sonic hedgehog,Shh,,,,,,
Helios,Ikzf2,IKZF2,,,,,,,
HER3,ErbB3,ERBB3,Receptor tyrosine-protein kinase erbB-3,,,,,,
HIF-1a,HIF1A,Hypoxia-inducible factor 1 alpha,HIF-1alpha,HIF1-alpha,,,,,
HLA-DR,HLA.DR,Hladr,HLA_DR,HLADR,,,,,
HMGB1,HMG-1,High mobility group box 1,,,,,,,
Iba-1,IBA1,AIF-1,Allograft inflammatory factor 1,,,,,,
ICOS,ICOS (CD278),Icos,CD278,,,,,,
ID2,Inhibitor of differentiation 2,Inhibitor of DNA binding 2,Id2,,,,,,
ID3,Inhibitor of differentiation 3,Inhibitor of DNA binding 3,Id3,,,,,,
IFNa,Interferon alpha,IFN-alpha,IFNalpha,,,,,,
IFNb,Interferon beta,IFN-beta,IFNbeta,,,,,,
IFNg,Interferon gamma,Ifng,Interferon,IFN-g,Interferon-g,Interferon-gamma,IFN-gamma,,
IgD,Igd,,,,,,,,
IgE,Ige,,,,,,,,
IGF1R,CD221,Insulin-like growth factor 1 receptor,IGF-1R,,,,,,
IgG,Igg,,,,,,,,
IgG1,Igg1,,,,,,,,
IgG2,Igg2,,,,,,,,
IgG2a,Igg2a,,,,,,,,
IgG2b,Igg2b,,,,,,,,
IgG3,Igg3,,,,,,,,
IgG4,Igg4,,,,,,,,
IgM,Igm,,,,,,,,
Ikaros,IKZF1,Ikaros zinc finger protein 1,,,,,,,
IL-10,IL10,IL_10,Il10,,,,,,
IL-11,IL11,Interleukin-11,Il11,,,,,,
IL-12,IL12,Interleukin-12,IL-12p70,,,,,,
IL-12p35,IL12p35,IL-12p35,Il12P35,,,,,,
IL-12p40,IL12p40,IL-12p40,Il12P40,,,,,,
IL-13,IL13,IL_13,Il13,,,,,,
IL-15,IL15,IL_15,Il15,,,,,,
IL-17,IL17,IL_17,Il17,IL-17A,IL17A,,,,
IL-17F,IL17F,IL.17F,Il17F,,,,,,
IL-17RB,IL17RB,IL17RB,Il17Rb,,,,,,
IL-18,IL18,Interleukin-18,Il18,,,,,,
IL-18R,IL18R,IL-18Receptor,IL_18R,IL-18-R,IL18-R,,,,
IL-19,IL19,Interleukin-19,Il19,,,,,,
IL-1a,IL1a,IL-1 alpha,Il1A,IL-1.alpha,,,,,
IL-1b,IL1b,pro-IL-1-beta,Il1B,IL-1 beta,,,,,
IL-2,IL2,IL.2,Il2,,,,,,
IL-21,IL21,IL-21,Il21,,,,,,
IL-21R,IL21R,IL-21 receptor,,,,,,,
IL-22,IL22,IL-22,Il22,,,,,,
IL-23,IL23,IL-23p19,Il23,IL_23p19,,,,,
IL-23p19,IL23p19,IL-23,Il23p19,p19,,,,,
IL-24,IL24,Interleukin-24,Il24,,,,,,
IL-25,IL25,IL-17E,Il25,,,,,,
IL-26,IL26,Interleukin-26,Il26,,,,,,
IL-27,IL27,IL-27,Il27,IL.27,,,,,
IL-28,IL28,IFN-lambda,Interferon lambda,,,,,,
IL-3,IL3,Interleukin-3,Il3,,,,,,
IL-31,IL31,Interleukin-31,Il31,,,,,,
IL-32,IL32,Interleukin-32,Il32,,,,,,
IL-33,IL33,IL-33,Il33,,,,,,
IL-34,IL34,Interleukin-34,Il34,,,,,,
IL-35,IL35,IL-35,Il35,EBI3,IL.35,,,,
IL-36,IL36,Interleukin-36,Il36,,,,,,
IL-37,IL37,Interleukin-37,Il37,,,,,,
IL-4,IL4,Interleukin-4,Il4,,,,,,
IL-5,IL5,Interleukin-5,Il5,,,,,,
IL-6,IL6,Interleukin-6,Il6,,,,,,
IL-7,IL7,Interleukin-7,Il7,,,,,,
IL-8,IL8,CXCL8,Interleukin-8,,,,,,
IL-9,IL9,Interleukin-9,Il9,,,,,,
IntegrinB7,Integrin-b7,Integrinb7,Integrin B7,Itgb7,,,,,
IRF1,Interferon regulatory factor 1,,,,,,,,
IRF3,Interferon regulatory factor 3,,,,,,,,
IRF4,IRF.4,Irf4,IRF-4,,,,,,
IRF7,Interferon regulatory factor 7,,,,,,,,
IRF8,Interferon regulatory factor 8,ICSBP,,,,,,,
ivCD45,intravenous*CD45,,i.v.*CD45,intravenousCD45,i.v.CD45,injectedCD45,injCD45,CD45iv,CD45i.v
Jagged-2,JAG2,Jagged2,,,,,,,
JNK,MAPK8,c-Jun N-terminal kinase,SAPK,,,,,,
Ki67,Ki_67,Ki67,,,,,,,
Klf4,KLF4,Kruppel-like factor 4,,,,,,,
KLRG1,Klrg1,,,,,,,,
LAG3,LAG-3,Lag3,,,,,,,
Laminin,LAM,Laminin-1,,,,,,,
LAP,latent.TGF-beta,Lap,,,,,,,
LEF1,LEF-1,Lymphoid enhancer binding factor 1,,,,,,,
LIF,Leukemia inhibitory factor,HILDA,,,,,,,
LTa,Lymphotoxin alpha,LT-alpha,TNFSF1,,,,,,
Ly49D,,,,,,,,,
Sca-1,Ly.6a,Ly-6A,Ly_6a,Sca1,Sca_1,Stem cell antigen-1,Stem cell antigen 1,,
Ly6C,Ly.6c,Ly-6C,Ly_6C,,,,,,
LY6E,Ly-6E,Lymphocyte antigen 6E,,,,,,,
Ly6G,Ly.6G,Ly-6G,Ly_6G,,,,,,
LYVE1,Lyve1,,,,,,,,
M-CSF,CSF1,Macrophage colony-stimulating factor,MCSF,,,,,,
MAP2,Microtubule associated protein 2,Microtubule-associated protein 2,,,,,,,
mCherry,cherry,,,,,,,,
Mcl-1,MCL1,Myeloid cell leukemia 1,,,,,,,
MerTK,MertK,Mertk,,,,,,,
MET,c-MET,HGFR,Hepatocyte growth factor receptor,,,,,,
MHCI,H-2Kk,H-2Db,H-2Kb,H-2Db,MHC1,,,,
MHCII,I-A,I-E,ClassII,MHC2,I-A/I-E,I-A I-E,IAIE,,
Nanog,NANOG,Nanog,,,,,,,
Nestin,NES,Nestin,Intermediate filament,,,,,,
NeuN,RBFOX3,Fox-3,,,,,,,
Neuropilin,CD304,Neuropilin,Neuropilin-1,Nrp1,Nrp-1,,,,
Neuropilin-2,NRP2,Nrp-2,NRP-2,,,,,,
NF-kB,NFkB,p65,RelA,NF-kappaB,,,,,
NFAT1,NFATC2,Nuclear factor of activated T-cells 2,,,,,,,
NFAT2,NFATC1,Nuclear factor of activated T-cells 1,NFATc1,,,,,,
NFIL3,E4BP4,Nfil3,,,,,,,
NK1.1,NK1-1,NK1_1,NK11,,,,,,
NKp46,NK.p46,Nkp46,NKp46 (CD335),CD335,NK-p46,,,,
Noggin,NOG,Nog,,,,,,,
Notch1,NOTCH1,Notch-1,N1,,,,,,
Notch2,NOTCH2,Notch-2,N2,,,,,,
Notch3,NOTCH3,Notch-3,N3,,,,,,
Notch4,NOTCH4,Notch-4,N4,,,,,,
Nur77,,,,,,,,,
NWS,NWS tag,Strep tag,Strep tag II,,,,,,
O4,,,,,,,,,
Oct4,POU5F1,Pou5f1,OCT4,Oct-4,,,,,
Olig2,OLIG2,Oligodendrocyte lineage transcription factor 2,,,,,,,
Ollas,OLLAS,,,,,,,,
Oncostatin M,OSM,Oncostatin-M,,,,,,,
p21,CDKN1A,Cip1,Waf1,CIP1,WAF1,,,,
p27,CDKN1B,Kip1,,,,,,,
P2RY12,P2Ry12,P2RY12 (P2Ry12),,,,,,,
P2XR7,P2RX7,P2Xr7,,,,,,,
p38,MAPK14,p38 MAPK,,,,,,,
p53,TP53,Tumor suppressor p53,Trp53,,,,,,
pAKT,phospho-AKT,p-AKT,pAkt,Phospho-AKT,,,,,
PanCytokeratin,Pan.cytokeratin,Pan-cytokeratin,Pan_cytokeratin,,,,,,
PAX5,Pax5,PAX5 (Pax5),,,,,,,
Pax6,PAX6,Paired box protein 6,,,,,,,
PD-1,CD279,Pd1,PD1 (CD279),PD.1,PD_1,PD-1,,,
PD-L1,B7-H1,CD274,PDL1,PD-L1,PD_L1,,,,
PD-L2,B7-DC,CD273,PDL2,PD-L2,PD_L2,,,,
PDCA-1,PDCA1,PDCA.1,PDCA_1,plasmacytoid,,,,,
PDGFR,PDGFRalpha/beta,PDGFR-ab,,,,,,,
Perforin,Perf,Perforin,,,,,,,
pERK,phospho-ERK,pERK1/2,phospho-p44/42 MAPK,pMAPK,Phospho-ERK,,,,
PI3K,PIK3CA,Phosphatidylinositol 3-kinase,p110alpha,,,,,,
PLZF,ZBTB16,Zbtb16,Promyelocytic leukemia zinc finger,,,,,,
pmTOR,phospho-mTOR,p-mTOR,Phospho-mTOR,,,,,,
podoplanin,PDPN,Aggrus,T1 alpha,gp36,,,,,
pRb,RB1,Retinoblastoma protein,,,,,,,
pSTAT1,phospho-STAT1,p-STAT1,Phospho-STAT1,,,,,,
pSTAT3,pSTAT3,Pstat3,phospho-STAT3,,,,,,
pSTAT4,phospho-STAT4,p-STAT4,Phospho-STAT4,,,,,,
pSTAT5,pSTAT5,Pstat5,phospho-STAT5,,,,,,
pSTAT6,phospho-STAT6,p-STAT6,Phospho-STAT6,,,,,,
PTEN,Phosphatase and tensin homolog,PTEN tumor suppressor,,,,,,,
PU.1,SPI1,Spi-1 proto-oncogene,Spib,PU1,,,,,
Ras,HRAS,KRAS,NRAS,Ras GTPase,,,,,
Rex1,ZFP42,Rex-1,,,,,,,
RFP,tdT,Rfp,Red Fluorescent Protein,dsRed,ROSA-RFP,,,,
RORgT,RORgamma,Rorgt,RORc,ROR-gamma,ROR-g,,,,
ROS1,ROS,c-ROS,,,,,,,
Runx1,RUNX1,CBFalpha2,AML1,,,,,,
Runx3,RUNX3,CBFalpha3,AML2,,,,,,
S,S tag,S-tag,S_tag,,,,,,
S100A4,FSP1,Fibroblast-specific protein 1,Metastasin,,,,,,
S100A8,MRP8,Calgranulin-A,,,,,,,
S100A9,MRP14,Calgranulin-B,,,,,,,
S100B,S100-b,S100beta,,,,,,,
S1P1,S1P1R,S1P1,,,,,,,
SCF,Stem cell factor,KITLG,KIT ligand,c-Kit ligand,Steel factor,,,,
Semaphorin 3A,SEMA3A,Sema3A,,,,,,,
Semaphorin 4D,SEMA4D,CD100,,,,,,,
SHP-1,PTPN6,SHP1,Tyrosine-protein phosphatase non-receptor type 6,,,,,,
SHP-2,PTPN11,SHP2,Tyrosine-protein phosphatase non-receptor type 11,,,,,,
Siglec F,SiglecF,Siglec-F,Siglec.F,Siglec_F,,,,,
Siglec H,SiglecH,Siglec-H,Siglec_H,,,,,,
Siglec-8,Siglec8,Siglec 8,Siglec_8,,,,,,
SLAMF6,Slam-F6,SlamF-6,Slamf6,,,,,,
SMAD2,pSMAD2,Phospho-SMAD2,,,,,,,
SMAD3,pSMAD3,Phospho-SMAD3,,,,,,,
Sox1,SOX1,SRY-related HMG box-1,,,,,,,
Sox17,SOX17,SRY-related HMG box-17,,,,,,,
Sox2,SOX2,SRY-related HMG box-2,,,,,,,
SpiB,SPIB,Spi-B transcription factor,,,,,,,
SSEA-1,LeX,Lewis X antigen,CD15,FUT4,,,,,
SSEA-3,Globopentaosylceramide,Stage-specific embryonic antigen 3,,,,,,,
SSEA-4,Globoside,Stage-specific embryonic antigen 4,,,,,,,
ST2,IL-33R,St2,IL33R,,,,,,
Stabilin2,STAB2,Stabilin2,,,,,,,
Survivin,BIRC5,Baculoviral IAP repeat-containing protein 5,,,,,,,
synaptophysin,SYP,Syp,,,,,,,
T-bet,T.bet,Tbet,,,,,,,
TCF1,TCF1/7,Tcf1,TCF7,TCF1 (TCF7),,,,,
TCF7L2,TCF4,Transcription factor 7 like 2,,,,,,,
TCR Va24-Ja18,TCR.Va24_Ja18,Tcr Va24-Ja18,TCR Va24,TCR Va24_Ja18,,,,,
TCR Va7.2,TCR.Va7.2,Tcr Va7.2,TCR Valpha7.2,TCR 7.2,,,,,
TCR Vb11,TCR-Vb11,Tcr Vb11,,,,,,,
TCR Vd2,TCRVdelta2,Tcr Vd2,,,,,,,
TCR Vg9,TCRVgamma9,Tcr Vg9,,,,,,,
TCRab,TCRalpha/beta,Tcrab,TCR-ab,TCR-alpha,TCR alpha/beta,TCR a/b,TCRa,TCR-a,
TCRbeta,TCR-beta,Tcrbeta,TCR-b,TCR-beta,,,,,
TCRgd,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRgd,TCR gd,TCRyd
TER119,TER-119,Ter119,TER_119,TER.119,,,,,
TGFb,TGFb1,TGF beta 1,Transforming growth factor beta 1,TGF-b1,,,,,
TGFbeta,TGF-beta,Tgfbeta,TGF,,,,,,
TIGIT,TIGIT,Tigit,,,,,,,
Tim-1,TIM1,KIM-1,KIM1,HAVcr1,Kidney injury molecule 1,,,,
TNF,TNF.alpha,Tnf,TNFa,TNF-a,TNF-alpha,TNF.alpha,TNF_alpha,TNF_a,TNF.a
TOX,,,,,,,,,
TOX2,TOX high mobility group box family member 2,,,,,,,,
TPO,Thrombopoietin,THPO,Mpl ligand,,,,,,
TRA-1-60,TRA160,Podocalyxin-like protein,PODXL,,,,,,
TRA-1-81,TRA181,,,,,,,,
TREM2,TREM2,Trem2,,,,,,,
TrkB,NTRK2,Neurotrophic receptor tyrosine kinase 2,,,,,,,
TSLP,Thymic stromal lymphopoietin,TSLP,Il7-like cytokine,,,,,,
TYRO3,TYRO3 protein tyrosine kinase,SKY,,,,,,,
V5,V5 tag,V5-tag,V5_tag,,,,,,
VEGFR1,Flt-1,FLT1,vascular endothelial growth factor receptor 1,,,,,,
VEGFR3,Flt-4,FLT4,vascular endothelial growth factor receptor 3,,,,,,
Viability,fixable,Livedead,Viability,viable,viablity,live-dead,LD,,
Vimentin,VIM,Vim,,,,,,,
VSVg,VSV-g,VSV_g,,,,,,,
Wnt-5a,WNT5A,Wnt5a,,,,,,,
Wnt3a,WNT3A,Wnt-3a,,,,,,,
XCL1,,,,,,,,,
XCL2,,,,,,,,,
XCR1,XCR1,Xcr1,,,,,,,
YFP,Yellow Fluorescent Protein,Yfp,,,,,,,
ZAP70,ZAP-70,Zap70,Zap.70,ZAP_70,,,,,
